Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
6614,40,530.3602282,3.723360656,154.6666667,1753.253047,462.0276745,25048.71298,285.9693878,1025.596578,838.1077914,29181.09103,2650.440761,1208.904176,9537.60469,0.195867769,62.88801097,74.48323184,3401.027303,1312.178388,725.9206835,8321.242208,388.0706248,43.90243902,676.0393542,434.34235,15.75356357,31.25220113,963.6463551,1079.214805,8307.643189,6.938005391,92.80014804,540.1783578,215.2762887,0,70.77436582,40.55462185,45.55555556,12.71442987,1569.116487,1.579899497,2.263374486
6615,40,705.7212714,5.665983607,168.3333333,1807.250467,412.2277213,24664.20662,285.9693878,1166.990457,825.6297598,30591.15421,2924.925721,1309.80484,9339.363484,0.195867769,46.76287995,53.97169569,3798.448704,1126.929674,788.7089673,8145.665726,309.029366,51.2195122,659.445005,633.6068382,6.538148927,12.97049676,923.2917749,1056.50784,8157.362365,15.03234501,142.1369356,657.94236,219.2628866,0,63.73831776,42.68907563,68.33333333,12.43188698,1713.154719,65.56582915,6.995884774
6616,40,923.8533007,25.41598361,175.3333333,1748.927769,372.0084509,22873.80173,276.2755102,1449.287266,844.3468073,31224.01722,3503.616943,1225.086358,9112.487437,0.587603306,45.15036685,18.30568659,3980.039989,1083.190395,950.321918,7360.257762,243.1616504,36.58536585,612.5479314,974.4416855,2.507471715,4.974367228,818.2930098,922.3704023,7956.569614,40.47169811,177.3774981,546.5785753,272.4175258,0,41.8024032,49.09243697,102.5,13.56205853,1605.126045,102.6934673,23.45679012
6617,40,1002.979625,49.86065574,161.6666667,1381.32034,348.8365011,21691.29361,305.3571429,1913.235933,971.2067955,33469.57059,3767.612032,1049.938037,8500.142379,1.175206612,44.3441103,10.08388369,3429.977937,1139.794168,1336.021375,6547.773948,156.9847223,40.24390244,581.5237134,1599.258818,10.67926183,21.18571059,663.2685661,807.7238648,7646.438936,53.19137466,226.7142857,401.9336596,346.8340206,0,39.7329773,74.70588235,113.8888889,9.041372351,1529.505974,93.21407035,56.99588477
6618,40,908.8834556,72.36270492,197,1015.916825,325.3272499,23808.35475,295.6632653,2044.810793,1083.50908,34119.08789,4417.984039,994.7282397,7330.519263,0.979338843,62.88801097,3.810103782,3299.744898,1054.888508,1745.168086,6205.993394,119.6596835,51.2195122,572.8657921,2458.499261,24.15101714,47.91121968,671.5176835,859.3079289,7391.055656,47.4097035,279.5751295,442.8950517,474.4051546,0,45.11348465,115.2605042,56.94444444,3.673057518,2301.010753,83.73467337,83.74485597
6619,40,861.8353708,75.1147541,206.3333333,1149.040257,387.2170384,26016.64483,285.9693878,2290.777229,1141.739895,33339.11199,5676.76857,883.3567525,7019.941374,1.37107438,171.3295171,3.724161592,3127.385549,1026.586621,2178.076779,6056.034833,150.9468484,0,536.7911201,2770.533797,45.11530893,89.50055664,860.3659326,1014.857869,8042.847749,58.97304582,254.9067358,578.5796629,562.1103093,0,51.73564753,70.43697479,68.33333333,1.130171544,3510.031661,30.8080402,96.70781893
6620,40,938.8231459,99.55942623,188,1152.742503,402.7308969,28122.86397,261.7346939,2350.182297,1143.819566,36425.70699,6666.313076,1029.377147,6649.891122,1.566942149,283.3991776,4.583583498,3230.639823,1034.305317,2485.408904,5586.581226,137.2244076,36.58536585,481.9576186,2710.50198,64.92733805,128.8040143,1028.035998,1213.985186,8158.46045,74.00539084,243.1598816,660.502447,579.385567,0,50.49399199,93.91596639,68.33333333,0.282542886,3808.910992,0,96.2962963
6621,40,1169.786471,114.4528689,151,1122.61781,325.4760034,28056.74509,232.6530612,2677.155643,1143.819566,37413.86151,6982.75752,1083.635051,6676.323283,1.37107438,414.8189954,1.174543271,3748.524545,1150.085763,2637.26528,5087.135908,154.7891318,80.48780488,427.1241171,2191.441833,58.034943,115.1307577,1126.600314,1220.642299,7487.844037,58.97304582,202.0458919,852.5089723,632.5402062,0,44.69959947,130.2016807,45.55555556,0.565085772,3756.697133,88.47437186,91.97530864
6622,40,1407.165444,134.6885246,180.6666667,1179.118716,328.1034914,28397.35958,227.8061224,2937.359658,1166.695958,35745.65683,6578.897483,897.2543911,7220.38526,1.37107438,557.5264049,0.45835835,3928.592113,1294.168096,2305.856444,4919.057354,216.2656665,76.82926829,391.7709384,1433.563524,63.1434375,125.2650805,1196.805375,1234.276957,7189.949167,49.72237197,197.3471503,1013.794454,757.4536082,0,38.90520694,121.6638655,45.55555556,1.695257316,3826.015532,106.6432161,82.71604938
6623,40,1462.767726,158.4856557,190,1159.582653,370.2441709,28216.13859,222.9591837,2999.710431,1202.050381,36875.37281,6675.054635,838.4274005,7550.78727,1.762809917,611.5455938,0.45835835,4040.988693,1327.61578,2270.606881,4660.378836,320.5562163,73.17073171,366.518668,1308.543993,50.64732974,100.4750785,1251.816205,1280.758207,6918.565215,35.84636119,178.5521836,1059.87602,823.8969072,0,36.00801068,177.1596639,22.77777778,2.542885974,3911.538232,0,70.16460905
6624,40,1492.707416,148.2868852,225.3333333,1098.795199,390.7589264,27662.99921,208.4183673,3273.170122,1218.687756,37272.30004,6811.422959,991.3014247,7801.892797,3.133884298,649.0365234,0.572947937,3666.154164,1613.207547,2258.489844,4706.824335,514.8659775,117.0731707,372.2906155,1199.140214,41.48100565,82.29076079,1218.225261,1370.665942,6417.367685,24.28301887,177.3774981,1128.998369,911.6020619,0,89.39919893,172.8907563,22.77777778,2.542885974,3956.550179,0,55.55555556
6625,40,1629.574572,141.6495902,240.3333333,1007.913012,438.6911477,27196.89592,256.8877551,3624.200066,1118.863503,36661.64276,7180.316759,840.9023224,7317.303183,1.175206612,593.4048214,1.718843812,3558.149476,1963.121784,2237.245688,4835.122215,800.841643,102.4390244,357.1392533,1042.328132,50.40241218,99.98920662,1249.987845,1431.208743,6043.234317,20.81401617,203.2205774,1112.357803,784.0309278,0,93.53805073,196.3697479,11.38888889,2.542885974,3923.241338,0,44.23868313
6626,40,1629.574572,145.3729508,211,946.1466968,434.7312315,27634.41102,247.1938776,3760.193485,1068.951377,33291.92484,7766.001228,677.7478532,7002.319933,0.979338843,492.2196243,1.54695943,3596.421677,2621.783877,2069.967629,4724.736052,1056.627939,95.12195122,339.1019173,825.6712487,96.52406984,191.4861759,1338.536547,1417.389629,6327.167816,33.53369272,198.5218357,1111.07776,753.4670103,0,100.1602136,224.1176471,11.38888889,3.390514632,3864.725806,0,35.80246914
6627,40,1695.869601,149.5819672,200,903.5572564,440.8123716,29050.92509,358.6734694,3750.374465,933.7727006,29333.75535,8316.71946,679.842018,6967.077052,0.391735537,338.2246231,1.862080796,3444.5877,3285.591767,2291.536309,4512.294757,1265.757936,95.12195122,300.1412714,875.8847777,166.6396178,330.5826538,1364.040972,1409.110152,6946.174218,47.4097035,187.9496669,1185.320283,789.3463918,0,106.7823765,232.6554622,11.38888889,5.933400605,3780.103345,0,28.18930041
6628,40,1616.743276,156.2192623,233.6666667,860.1761924,476.2533237,31180.2459,528.3163265,3660.039487,740.3632103,28392.78799,9077.235114,797.6863778,7453.869347,0.195867769,263.2427638,5.84406896,3040.444015,3244.425386,2557.481671,3898.922587,1380.477541,113.4146341,336.2159435,815.0113934,208.2756709,413.1810004,1338.719109,1488.759524,7297.404662,34.69002695,182.0762398,1184.040239,705.6278351,0,49.25233645,234.789916,0,7.911200807,3530.737157,85.31457286,24.27983539
6629,40,1691.592502,191.8340164,207.3333333,859.4273793,513.9635682,32805.60948,581.6326531,3744.974005,729.9648506,27737.71927,9795.791283,845.0906518,7867.973199,0.391735537,245.1019915,12.14649627,2495.67016,3362.778731,2758.278288,3682.524053,1468.850059,109.7560976,339.1019173,772.2784647,343.7219916,681.8818336,1413.815073,1518.415382,7754.835647,19.65768194,186.7749815,1140.51876,688.3525773,0,53.80507343,241.1932773,0,10.73662967,3226.456392,83.73467337,21.60493827
6630,40,1606.05053,154.7622951,237.3333333,843.568727,521.183426,33815.02796,538.0102041,3793.578151,659.2560047,28945.15526,10575.53837,858.9882904,8555.20938,1.958677686,326.5339031,20.16776739,2163.410094,2734.991424,2991.334549,3523.817909,1615.405727,113.4146341,356.4177598,765.639432,426.3872699,845.874691,1342.05631,1536.972738,8432.981789,9.250673854,230.238342,1127.718325,645.828866,0,67.87716956,245.4621849,11.38888889,14.97477296,3205.750896,105.8532663,18.3127572
6631,40,1400.749796,137.2786885,197.3333333,850.3013284,534.7538536,32184.97289,431.377551,3939.390589,603.1048623,28273.43225,10316.78821,934.7589774,9222.621441,5.288429752,501.0884463,22.68873831,1945.787369,2356.7753,3160.186249,3071.026365,1755.374623,120.7317073,233.7638749,620.6092953,471.1311798,934.6384596,1229.723501,1553.854949,9922.299269,5.781671159,292.4966691,1126.438282,567.4257732,0,82.77703605,239.0588235,0,14.40968718,2887.966547,131.1316583,9.465020576
6632,40,1020.08802,184.8729508,201.6666667,788.3801314,541.9641023,27347.93332,494.3877551,3689.987496,544.874048,27016.03339,10045.79988,844.3291374,9293.107203,7.442975207,736.9184875,31.48348915,1969.449807,1945.111492,3223.289261,2744.241667,1878.327692,124.3902439,334.7729566,430.3215274,605.4890996,1201.180104,1076.55307,1463.044592,10860.84851,2.312668464,239.6358253,1056.035889,455.8010309,0,94.77970628,228.3865546,22.77777778,13.27951564,2396.436081,119.2824121,10.90534979
6633,40,821.202934,229.5532787,152.3333333,589.6971115,585.6912177,24337.71172,484.6938776,3801.433366,702.9291154,24823.2186,10127.97053,943.5163934,9570.644891,13.51487603,774.4094171,25.23835663,1713.465251,1417.667238,3294.575207,2252.919104,1822.340134,131.7073171,414.8587286,313.9046865,697.9946393,1384.694247,653.5670404,1264.281762,11681.74575,1.156334232,169.1547002,1009.954323,629.8824742,0,97.67690254,230.5210084,56.94444444,9.889001009,2476.557348,116.1226131,11.93415638
